MaLoai,MaHangSX,MaNCC,TenThuoc,CongDung,DonGia,SoLuongTonKho,HanSuDung
030dc046-ea1c-4944-9127-f85ea52d4bfc,ebe33327-9979-41b3-8cf5-4fad187f5462,19035f17-c015-4f31-8443-97230cdd7832,Cetirizine,"Chống dị ứng, viêm mũi",214215.11,55,2026-09-24
1b0a1421-73b1-44a9-83db-7b94f06355ca,cbbd98f2-d9ad-40e1-9b03-70d7304bbcd8,7794fbc1-1f8c-4858-abf3-2215afb62b41,Hydroxyzine,"Giảm lo âu, dị ứng",38979.72,357,2026-10-09
53956b6f-a63f-41bb-968a-7c2d39c266f5,ebe33327-9979-41b3-8cf5-4fad187f5462,da9ca03f-91c3-4fd7-84d8-79778c61ed22,Aspirin,"Giảm đau, ngăn ngừa huyết khối",195872.14,915,2028-06-17
a400e820-ba4f-443d-b0ea-a845a0d153be,b70eb6a5-667c-46c1-bf4f-6b4a142f920d,7794fbc1-1f8c-4858-abf3-2215afb62b41,Cefixime,Kháng sinh điều trị nhiễm trùng,62248.17,880,2028-01-16
030dc046-ea1c-4944-9127-f85ea52d4bfc,0e44a07a-d508-4239-b29f-eb772fa9b1ba,7129ddda-27a9-4eaf-b58f-209d7ef59a15,Ginger extract,Chống buồn nôn,425542.50,730,2026-01-15
a400e820-ba4f-443d-b0ea-a845a0d153be,f2a9a8f4-0120-4b34-95cd-0e452e506361,da9ca03f-91c3-4fd7-84d8-79778c61ed22,Magnesium B6,Chống chuột rút,154075.89,786,2027-03-01
962cfcb1-680e-4c70-8877-e5364f60c499,b70eb6a5-667c-46c1-bf4f-6b4a142f920d,74181d5b-eb92-404e-a896-fc91fbd94d0b,Telfast,Chống dị ứng,458603.72,207,2027-06-06
53956b6f-a63f-41bb-968a-7c2d39c266f5,ebe33327-9979-41b3-8cf5-4fad187f5462,35db9b68-734a-45a3-9e0f-d24afb99ea8e,Tetracycline,Kháng sinh nhóm tetracycline,204148.95,599,2026-02-13
44d6ac72-c8e2-4712-b923-dc0299cbc742,f2a9a8f4-0120-4b34-95cd-0e452e506361,71564964-5fac-4ff9-bfae-c7ca785408fd,Zinc gluconate,Bổ sung kẽm,107948.29,23,2028-03-10
962cfcb1-680e-4c70-8877-e5364f60c499,8a136dba-a89f-4ae0-a6c6-1efa29fd0310,168df904-6ced-43bc-b8c3-a50a53a6016c,Azithromycin,Kháng sinh thế hệ mới,174239.85,229,2026-12-18
652c7cfb-2c22-4aa1-a2ca-013521f42735,ebe33327-9979-41b3-8cf5-4fad187f5462,35db9b68-734a-45a3-9e0f-d24afb99ea8e,Ranitidine,Điều trị loét dạ dày,324375.54,191,2027-06-17
030dc046-ea1c-4944-9127-f85ea52d4bfc,cbbd98f2-d9ad-40e1-9b03-70d7304bbcd8,7794fbc1-1f8c-4858-abf3-2215afb62b41,Acetylcysteine,Tiêu đờm,123116.62,47,2027-08-01
44d6ac72-c8e2-4712-b923-dc0299cbc742,f2a9a8f4-0120-4b34-95cd-0e452e506361,19035f17-c015-4f31-8443-97230cdd7832,Glucosamine,Hỗ trợ khớp,9730.84,572,2028-01-08
a400e820-ba4f-443d-b0ea-a845a0d153be,8a136dba-a89f-4ae0-a6c6-1efa29fd0310,19035f17-c015-4f31-8443-97230cdd7832,Bromhexin,Loãng đờm,452151.29,897,2027-03-20
a400e820-ba4f-443d-b0ea-a845a0d153be,f2a9a8f4-0120-4b34-95cd-0e452e506361,71564964-5fac-4ff9-bfae-c7ca785408fd,Nystatin,Chống nấm miệng,42004.93,34,2028-02-25
e61a8844-0e33-4ef7-a36e-26c50aca7a88,6a185d9e-ea89-41c2-850a-00eef95d9ebe,7129ddda-27a9-4eaf-b58f-209d7ef59a15,Mekotricin,Sát khuẩn họng,254352.14,803,2028-06-04
44d6ac72-c8e2-4712-b923-dc0299cbc742,f2a9a8f4-0120-4b34-95cd-0e452e506361,da9ca03f-91c3-4fd7-84d8-79778c61ed22,Chlorhexidine,Sát khuẩn ngoài da,111892.18,362,2027-03-28
1b0a1421-73b1-44a9-83db-7b94f06355ca,ebe33327-9979-41b3-8cf5-4fad187f5462,168df904-6ced-43bc-b8c3-a50a53a6016c,Oral Rehydration Salts,Bù nước và điện giải,60626.71,883,2028-04-14
030dc046-ea1c-4944-9127-f85ea52d4bfc,94678b44-f3f1-4f1d-aafe-2df7211a7ccd,da9ca03f-91c3-4fd7-84d8-79778c61ed22,Berberin,"Tiêu chảy, rối loạn tiêu hóa",72940.98,71,2028-03-23
a400e820-ba4f-443d-b0ea-a845a0d153be,c5eb10d3-3b76-4fe8-a39c-78ca51db9ae7,7129ddda-27a9-4eaf-b58f-209d7ef59a15,Efferalgan,"Giảm đau, hạ sốt",249339.52,219,2026-03-03
